county_fips,food_desert_prevalence,obesity_pct,poverty_pct,median_income_usd,education_pct,diabetes_pct,inactivity_pct
06005,0.0,27.5,7.75,81526.0,22.44,12.4,21.0
06007,50.98039215686274,30.2,18.34,68574.0,31.72,10.6,22.7
06009,0.0,29.6,13.36,79877.0,22.19,13.4,22.4
06011,20.0,32.0,10.8,75149.0,14.52,12.9,27.8
06013,30.76923076923077,28.6,8.25,125727.0,44.91,11.2,19.4
06015,50.0,33.9,11.62,66780.0,20.97,13.5,28.0
06017,9.30232558139535,24.7,8.26,106190.0,38.82,10.3,16.1
06019,50.25125628140703,38.6,18.67,71434.0,23.85,13.1,26.1
06021,50.0,33.6,12.36,70487.0,16.48,12.6,27.0
06023,45.16129032258064,32.1,18.91,61135.0,32.09,10.7,21.6
06025,58.06451612903226,38.0,19.64,56393.0,16.1,15.4,32.5
06027,16.666666666666664,29.6,10.48,72432.0,31.82,12.0,21.0
06029,56.95364238410596,35.6,19.05,67660.0,18.57,12.8,30.5
06031,55.55555555555556,31.6,16.77,68750.0,13.92,12.1,29.0
06033,26.666666666666668,30.2,16.68,58738.0,17.74,12.6,23.6
06035,33.33333333333333,32.7,13.68,64395.0,13.21,11.2,24.1
06037,23.231031543052,26.2,13.64,87760.0,35.47,12.3,23.1
06039,30.434782608695656,34.9,19.86,75496.0,17.13,13.5,29.0
06041,1.7857142857142856,23.5,7.83,142785.0,60.46,9.8,14.2
06043,0.0,31.8,13.89,65378.0,30.86,14.2,24.9
06045,47.61904761904761,29.0,15.16,64688.0,24.92,12.6,22.6
06047,51.02040816326531,34.0,18.4,65044.0,14.78,13.3,30.5
06049,75.0,29.7,20.28,56648.0,23.0,14.1,24.4
06051,0.0,29.2,11.04,86953.0,34.32,10.3,19.8
06053,18.085106382978726,32.3,12.58,94486.0,27.88,11.9,25.8
06055,15.0,28.4,8.43,108970.0,38.52,11.6,24.2
06057,30.0,29.8,10.59,84905.0,39.46,12.6,23.8
06059,12.69296740994854,25.7,9.49,113702.0,43.4,11.1,20.7
06061,5.88235294117647,25.9,6.71,114678.0,42.89,10.6,17.5
06063,0.0,29.1,10.73,64946.0,20.46,12.8,21.7
06065,36.423841059602644,33.7,11.06,89672.0,25.08,11.3,24.2
06067,37.85488958990536,34.1,12.62,88724.0,33.28,11.4,23.0
06069,72.72727272727273,29.0,7.79,108289.0,22.39,10.9,22.6
06071,47.15447154471545,35.1,13.57,82184.0,22.9,12.5,27.0
06073,20.382165605095544,25.3,10.35,102285.0,42.09,9.9,18.5
06075,8.121827411167512,17.6,10.58,141446.0,60.12,9.9,16.5
06077,39.568345323741006,33.7,12.56,88531.0,21.57,12.1,24.3
06079,20.37037037037037,26.6,12.85,93398.0,39.2,9.6,17.6
06081,4.430379746835443,21.7,6.49,156000.0,53.07,10.3,18.1
